Horodateur,Date de l'observation,Nom de l'observateur,Zone d'observation,Zone d'observation,Ordre,Famille,Genre,Espèce,Nombre,Sexe,Lien URL de l'image,Fiche technique,Remaques
28/07/2015 21:18:49,14/07/2015,Tifaeris,C10,,Hémiptères,Pentatomidae,Eurydema,Eurydema ventralis,1,,https://tifaeris.files.wordpress.com/2015/07/eurydema-ventralis1.jpg?w=1400&h=,https://tifaeris.wordpress.com/insectes/hemipteres/eurydema-ventralis/,
28/07/2015 21:33:29,14/07/2015,Tifaeris,C10,,Araignées,Dictynidae,Dictyna,Dictyna uncinata,1,,https://tifaeris.files.wordpress.com/2015/07/dictyna-uncinata-2.jpg?w=1024,https://tifaeris.wordpress.com/arachnides-2/arachnides/dictyna-uncinata/,
28/07/2015 21:36:17,14/07/2015,Tifaeris,C10,,Hémiptères,Pentatomidae,Nezara,Punaise verte ponctuée (Nezara viridula),1,,https://tifaeris.files.wordpress.com/2015/07/punaise-verte-ponctuc3a9e-4.jpg?w=1400&h=,https://tifaeris.wordpress.com/insectes/hemipteres/punaise-verte-ponctuee-nezara-viridula/,
13/07/2015 20:39:02,13/07/2015,Tifaeris,C10,,Odonates,Calopterygidae,Calopteryx,Caloptéryx hémorroïdal (Calopteryx haemorrhoidalis),6,,,https://tifaeris.wordpress.com/insectes/odonates/calopteryx-hemorroidal/,
13/07/2015 20:39:31,13/07/2015,Tifaeris,C10,,Odonates,Calopterygidae,Calopteryx,Caloptéryx vierge (Calopteryx virgo),1,,,https://tifaeris.wordpress.com/insectes/odonates/calopteryx-vierge-calopteryx-virgo/,
13/07/2015 20:40:23,13/07/2015,Tifaeris,C10,,Lépidoptères,Nymphalidae,Pyronia,Amaryllis (Pyronia tithonus),1,Mâle,https://tifaeris.files.wordpress.com/2013/08/amaryllis1.jpg,https://tifaeris.wordpress.com/insectes/lepidopteres/rhopaloceres-de-jour/amaryllis/,Chasse les caloptéryx
13/07/2015 20:41:10,13/07/2015,Tifaeris,B7,,Lépidoptères,Nymphalidae,Pyronia,Amaryllis (Pyronia tithonus),3,Mâles,https://tifaeris.files.wordpress.com/2013/08/amaryllis-3.jpg,https://tifaeris.wordpress.com/insectes/lepidopteres/rhopaloceres-de-jour/amaryllis/,
13/07/2015 20:41:36,13/07/2015,Tifaeris,B7,,Lépidoptères,Nymphalidae,Pararge,Tircis (Pararge aegeria),1,,,https://tifaeris.wordpress.com/insectes/lepidopteres/rhopaloceres-de-jour/tircis/,
13/07/2015 20:42:22,13/07/2015,Tifaeris,B7,,Odonates,Calopterygidae,Calopteryx,Caloptéryx hémorroïdal (Calopteryx haemorrhoidalis),7,,https://tifaeris.files.wordpress.com/2014/06/caloptc3a9ryx-hc3a9morroc3afdal-22.jpg,https://tifaeris.wordpress.com/insectes/odonates/calopteryx-hemorroidal/,
13/07/2015 20:43:52,13/07/2015,Tifaeris,B7,,Odonates,Gomphidae,Onychogomphus,Onychogomphe à pinces (Onychogomphus forcipatus),1,Mâle,https://tifaeris.files.wordpress.com/2015/07/onychogomphe-c3a0-pinces-2.jpg,https://tifaeris.wordpress.com/insectes/odonates/onychogomphe-a-pinces-onychogomphus-forcipatus/,
13/07/2015 20:45:29,13/07/2015,Tifaeris,B7,,Coléoptères,Coccinellidae,Tytthaspis,Coccinelle à 16 points (Tytthaspis sedecimpunctata),6,,,https://tifaeris.wordpress.com/insectes/coleopteres/coccinelle-a-16-points/,Au sol
13/07/2015 20:46:14,13/07/2015,Tifaeris,D6,,Odonates,Libellulidae,Orthetrum,Orthétrum réticulé (Orthetrum cancellatum),1,Femelle,https://tifaeris.files.wordpress.com/2014/04/orthc3a9trum-rc3a9ticulc3a97.jpg,https://tifaeris.wordpress.com/insectes/odonates/orthetrum-reticule/,
13/07/2015 20:47:05,13/07/2015,Tifaeris,D6,,Coléoptères,Coccinellidae,Tytthaspis,Coccinelle à 16 points (Tytthaspis sedecimpunctata),7,,,https://tifaeris.wordpress.com/insectes/coleopteres/coccinelle-a-16-points/,Dans l'herbe coupée
13/07/2015 20:48:07,13/07/2015,Tifaeris,D7,Présentes tout le long du chemin,Coléoptères,Coccinellidae,Tytthaspis,Coccinelle à 16 points (Tytthaspis sedecimpunctata),10aines,,,https://tifaeris.wordpress.com/insectes/coleopteres/coccinelle-a-16-points/,Dans l'herbe coupée
15/07/2015 23:04:01,13/07/2015,Tifaeris,D7,,Araignées,Uloboridae,Uloborus,Uloborus walckenaerius,1,,https://tifaeris.files.wordpress.com/2015/07/uloborus-walckenaerius-2.jpg,https://tifaeris.wordpress.com/arachnides-2/arachnides/uloborus-walckenaerius/,
13/07/2015 20:24:12,12/07/2015,Tifaeris,H23,,Coléoptères,Cantharidae,Rhagonycha,Téléphore fauve (Rhagonycha fulva),1,,,https://tifaeris.wordpress.com/insectes/coleopteres/telephore-fauve/,
13/07/2015 20:24:56,12/07/2015,Tifaeris,H23,,Lépidoptères,Nymphalidae,Melitaea,Mélitée des centaurées (Melitaea phoebe),1,,https://tifaeris.files.wordpress.com/2013/06/mc3a9litc3a9e-des-centaurc3a9es5.jpg,https://tifaeris.wordpress.com/insectes/lepidopteres/rhopaloceres-de-jour/melitee-des-centaurees/,
13/07/2015 20:25:54,12/07/2015,Tifaeris,H23,,Hémiptères,Coreidae,Syromastus,Syromastus rhombeus,1,,,https://tifaeris.wordpress.com/insectes/hemipteres/syromastus-rhombeus/,
13/07/2015 20:26:52,12/07/2015,Tifaeris,H23,,Odonates,Libellulidae,Orthetrum,Orthétrum réticulé (Orthetrum cancellatum),1,Mâle,https://tifaeris.files.wordpress.com/2014/04/orthc3a9trum-rc3a9ticulc3a96.jpg,https://tifaeris.wordpress.com/insectes/odonates/orthetrum-reticule/,Immature
13/07/2015 20:27:48,12/07/2015,Tifaeris,H23,,Odonates,Libellulidae,Orthetrum,Orthétrum bleuissant (Orthetrum coerulescens),1,Mâle,https://tifaeris.files.wordpress.com/2013/07/orthc3a9trum-bleuissant-21.jpg,https://tifaeris.wordpress.com/insectes/odonates/orthetrum-bleuissant/,
13/07/2015 20:28:39,12/07/2015,Tifaeris,D6,,Odonates,Libellulidae,Crocothemis,Crocothémis écarlate (Crocothemis erythraea),2,Mâles,,https://tifaeris.wordpress.com/insectes/odonates/crocothemis-ecarlate/,
13/07/2015 20:29:16,12/07/2015,Tifaeris,D6,,Odonates,Libellulidae,Anax,Anax empereur (Anax imperator),1,Femelle,,https://tifaeris.wordpress.com/insectes/odonates/anax-empereur/,Ponte
13/07/2015 20:30:40,12/07/2015,Tifaeris,D6,,Odonates,Coenagrionidae,Ischnura,Ischnure élégante (Ischnura elegans),3,,https://tifaeris.files.wordpress.com/2013/05/ischnure-c3a9lc3a9gante9.jpg,https://tifaeris.wordpress.com/insectes/odonates/ischnure-elegante/,
13/07/2015 20:31:10,12/07/2015,Tifaeris,D6,,Araignées,Tetragnathidae,Tetragnatha,,3,,,https://tifaeris.wordpress.com/arachnides-2/arachnides/tetragnathes/,
13/07/2015 20:32:02,12/07/2015,Tifaeris,D6,,Odonates,Coenagrionidae,Coenagrion,Agrion jouvencelle (Coenagrion puella),1,Mâle,https://tifaeris.files.wordpress.com/2013/05/agrion-jouvencelle3.jpg,https://tifaeris.wordpress.com/insectes/odonates/agrion-jouvencelle/,
13/07/2015 20:33:15,12/07/2015,Tifaeris,D6,,Hémiptères,Pentatomidae,Dolycoris,Punaise des baies (Dolycoris baccarum),1,,https://tifaeris.files.wordpress.com/2014/04/punaise-des-baies5.jpg,https://tifaeris.wordpress.com/insectes/hemipteres/punaise-des-baies/,
13/07/2015 20:34:22,12/07/2015,Tifaeris,C9,,Odonates,Libellulidae,Orthetrum,Orthétrum brun (Orthetrum brunneum),1,Mâle,https://tifaeris.files.wordpress.com/2015/06/orthc3a9trum-brun-31.jpg,https://tifaeris.wordpress.com/insectes/odonates/orthetrum-brun-orthetrum-brunneum/,
13/07/2015 20:35:06,12/07/2015,Tifaeris,C9,,Odonates,Libellulidae,Orthetrum,Orthétrum bleuissant (Orthetrum coerulescens),1,Mâle,https://tifaeris.files.wordpress.com/2013/07/orthc3a9trum-bleuissant1.jpg,https://tifaeris.wordpress.com/insectes/odonates/orthetrum-bleuissant/,
13/07/2015 20:36:19,12/07/2015,Tifaeris,C9,,Lépidoptères,Lycaenidae,Polyommatus,Azuré commun (Polyommatus icarus),1,Femelle,https://tifaeris.files.wordpress.com/2013/05/azurc3a9-commun4.jpg,https://tifaeris.wordpress.com/insectes/lepidopteres/rhopaloceres-de-jour/azure-commun/,
13/07/2015 20:37:03,12/07/2015,Tifaeris,C9,,Araignées,Araneidae,Neoscona,Épeire fougère (Neoscona adianta),1,Femelle,,https://tifaeris.wordpress.com/arachnides-2/arachnides/epeire-fougere/,
13/07/2015 20:37:52,12/07/2015,Tifaeris,I21,,Odonates,Platycnemididae,Platycnemis,Pennipatte bleuâtre(Platycnemis pennipes),3,Mâles,https://tifaeris.files.wordpress.com/2013/07/pennipatte-bleuc3a2tre7.jpg,https://tifaeris.wordpress.com/insectes/odonates/pennipatte-bleuatre/,
,12/07/2015,,H23,,Lépidoptères,Papilionidae,Papilio,Machaon (Papilio machaon),1,,https://tifaeris.files.wordpress.com/2014/07/machaon.jpg,https://tifaeris.wordpress.com/insectes/lepidopteres/rhopaloceres-de-jour/machaon/,
05/07/2015 22:52:49,05/07/2015,Tifaeris,D6,,Araignées,Tetragnathidae,Tetragnatha,-,2,,https://tifaeris.files.wordpress.com/2013/05/tetragnathe.jpg,https://tifaeris.wordpress.com/arachnides-2/arachnides/tetragnathes/,
05/07/2015 22:53:21,05/07/2015,Tifaeris,D6,,Odonates,Coenagrionidae,Ischnura,Ischnure élégante (Ischnura elegans),4,,,https://tifaeris.wordpress.com/insectes/odonates/ischnure-elegante/,
05/07/2015 22:54:18,05/07/2015,Tifaeris,D6,,Odonates,Libellulidae,Libellula,Libellule fauve (Libellula fulva),1,Mâle,https://tifaeris.files.wordpress.com/2015/07/libellule-fauve.jpg,https://tifaeris.wordpress.com/insectes/odonates/libellule-fauve-libellula-fulva/,
05/07/2015 22:55:34,05/07/2015,Tifaeris,C6,,Dictyoptères,Mantidae,Mantis,Mante religieuse (Mantis religiosa),1,Femelle,https://tifaeris.files.wordpress.com/2013/08/mante-religieuse2.jpg,https://tifaeris.wordpress.com/insectes/dictyopteres/mante-religieuse/,Juv
05/07/2015 22:56:27,05/07/2015,Tifaeris,C6,,Araignées,Thomisidae,Runcinia,Thomise pépin de raisin (Runcinia grammica),2,,https://tifaeris.files.wordpress.com/2013/06/thomise-pc3a9pin-de-raisin5.jpg,https://tifaeris.wordpress.com/arachnides-2/arachnides/thomise-pepin-de-raisin/,Une qui mangeait une tétragnathe
05/07/2015 22:56:52,05/07/2015,Tifaeris,C6,,Araignées,Tetragnathidae,Tetragnatha,-,1,,,https://tifaeris.wordpress.com/arachnides-2/arachnides/tetragnathes/,
05/07/2015 22:57:43,05/07/2015,Tifaeris,C6,,Lépidoptères,Lycaenidae,Aricia,Collier de corail (Aricia agestis),1,,https://tifaeris.files.wordpress.com/2013/07/collier-de-corail2.jpg,https://tifaeris.wordpress.com/insectes/lepidopteres/rhopaloceres-de-jour/collier-de-corail/,
05/07/2015 22:58:26,05/07/2015,Tifaeris,C6,,Diptères,Tachinidae,Ectophasia,-,1,Femelle,https://tifaeris.files.wordpress.com/2013/09/ectophasia.jpg,https://tifaeris.wordpress.com/insectes/dipteres/ectophasia-sp-femelles/,
05/07/2015 22:58:59,05/07/2015,Tifaeris,C6,,Diptères,Tachinidae,Ectophasia,Phasie crassipenne (Ectophasia crassipennis),1,Mâle,,https://tifaeris.wordpress.com/insectes/dipteres/phasie-crassipenne/,
